,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
28/8/2015,0,0,0,2,1,5,0,16,2,3,0,10,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,2
29/8/2015,0,1,0,3,0,6,0,17,0,8,0,12,0,1,0,1,0,0,0,1,0,3,0,0,0,2,0,6
30/8/2015,0,3,0,0,0,3,0,10,0,4,0,8,0,2,0,4,0,0,0,2,0,0,0,2,0,1,0,2
31/8/2015,0,0,0,1,0,5,0,6,2,2,0,5,0,1,0,3,0,1,0,1,0,1,0,2,0,0,0,1
1/9/2015,0,0,0,2,0,12,0,14,0,8,0,5,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1
2/9/2015,0,0,0,0,0,7,0,7,0,4,0,8,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0
3/9/2015,0,0,0,4,0,2,0,7,0,9,0,12,0,0,0,2,0,1,0,1,0,2,0,1,0,0,0,0
4/9/2015,0,0,0,1,1,4,0,11,0,7,0,11,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,2
5/9/2015,0,0,0,0,0,6,0,9,0,4,0,13,0,2,0,1,0,1,0,1,1,1,0,2,0,4,0,3
6/9/2015,0,1,0,2,0,9,0,7,0,6,0,6,0,1,0,0,0,4,0,1,0,0,0,1,0,2,0,0
7/9/2015,0,0,0,0,0,4,0,7,0,6,0,5,0,0,0,1,0,1,0,3,0,1,0,0,0,1,0,1
8/9/2015,0,1,0,1,0,5,0,10,0,5,0,10,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,5
9/9/2015,0,1,0,1,0,4,0,12,0,9,0,8,0,0,0,1,0,0,0,0,0,3,0,4,0,0,0,1
10/9/2015,0,0,0,1,0,4,0,8,0,8,0,8,0,0,0,1,0,1,0,3,1,0,0,2,0,2,0,3
11/9/2015,0,0,0,1,0,8,0,12,0,7,0,13,0,1,0,2,0,3,0,1,0,0,0,2,0,0,0,2
12/9/2015,0,1,0,3,0,3,0,5,1,5,0,7,0,4,0,1,0,3,0,3,0,2,0,3,0,1,0,4
13/9/2015,0,2,0,4,0,6,0,11,1,5,0,4,0,1,0,0,0,2,0,2,1,0,0,4,0,1,0,4
14/9/2015,0,0,0,2,0,5,0,8,0,8,0,11,0,1,0,1,0,0,0,2,0,2,0,4,0,0,0,2
15/9/2015,0,1,0,1,0,1,0,13,0,6,0,8,0,0,0,1,0,1,0,4,0,2,0,2,0,2,0,2
16/9/2015,0,1,0,0,0,3,0,10,0,10,0,9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
17/9/2015,0,0,0,2,0,3,0,3,0,9,0,6,0,1,0,0,0,1,0,1,0,1,0,2,0,0,0,2
18/9/2015,0,1,0,2,0,1,0,9,0,6,0,8,0,2,0,2,0,0,0,2,0,1,0,0,0,2,0,4
19/9/2015,0,2,0,3,0,5,0,9,0,4,0,7,0,3,0,4,0,2,0,0,0,1,0,1,0,1,0,1
