"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-04","0.00","88","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-05","0.00","83","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-06","0.00","85","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-07","0.00","81","64"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-08","0.14","96","67"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-09","0.00","75","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-10","0.00","78","53"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-11","0.00","67","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-12","0.02","65","53"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-13","0.00","81","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-14","0.00","78","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-15","0.00","82","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-16","0.00","88","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-17","0.00","98","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-18","0.00","96","65"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-19","0.00","109","64"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-20","0.00","103","83"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-21","0.38","70","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-22","0.00","77","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-23","0.00","83","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-24","0.00","94","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-25","0.00","96","72"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-26","0.98","70","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-27","0.55","68","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-28","0.00","72","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-29","0.00","78","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-30","0.00","94","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-31","0.00","103","66"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-01","0.00","78","67"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-02","0.00","83","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-03","0.00","78","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-04","0.00","78","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-05","0.00","80","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-06","0.00","79","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-07","0.00","72","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-08","0.00","70","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-09",,"72",
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-10","0.00","90","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-11","0.00","101","62"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-12","0.02","82","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-01-13","0.00","109","59"
